Name	Experiment	Groups	Type
Measure_1	Sample_1	Control	C
Measure_2	Sample_2	Control	C
Measure_3	Sample_3	Control	C
Measure_4	Sample_4	Condition_1	T
Measure_5	Sample_5	Condition_1	T
Measure_6	Sample_6	Condition_1	T
Measure_7	Sample_7	Condition_2	T
Measure_8	Sample_8	Condition_2	T
Measure_9	Sample_9	Condition_2	T
Measure_10	Sample_10	Condition_3	T
Measure_11	Sample_11	Condition_3	T
Measure_12	Sample_12	Condition_3	T
Measure_13	Sample_13	Condition_4	T
Measure_14	Sample_14	Condition_4	T
Measure_15	Sample_15	Condition_4	T
Measure_16	Sample_16	Condition_5	T
Measure_17	Sample_17	Condition_5	T
Measure_18	Sample_18	Condition_5	T
Measure_19	Sample_19	Condition_6	T
Measure_20	Sample_20	Condition_6	T
Measure_21	Sample_21	Condition_6	T
Measure_22	Sample_22	Condition_7	T
Measure_23	Sample_23	Condition_7	T
Measure_24	Sample_24	Condition_7	T
